,artists
0,"['Sergei Rachmaninoff', 'James Levine', 'Berliner Philharmoniker']"
1,['Dennis Day']
2,['KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat']
3,['Frank Parker']
4,['Phil Regan']
5,['John McCormack']
6,['Sergei Rachmaninoff']
7,['Ignacio Corsini']
8,['Fortugé']
9,['Maurice Chevalier']
10,['Georgel']
11,['Mehmet Kemiksiz']
12,['Zay Gatsby']
13,"['Sergei Rachmaninoff', 'Ruth Laredo']"
14,"['Hector Berlioz', 'Arturo Toscanini']"
15,['THE GUY']
16,['Christopher Lynch']
17,"['John McCormack', 'Edwin Schneider']"
18,['Hanende İbrahim Efendi']
19,"['Ermanno Wolf-Ferrari', 'Arturo Toscanini']"
20,"['Wolfgang Amadeus Mozart', 'Arturo Toscanini']"
21,"['Sergei Rachmaninoff', 'Yuri Temirkanov', 'St. Petersburg Philharmonic Orchestra']"
22,"['Felix Mendelssohn', 'Arturo Toscanini']"
23,"['Sergei Rachmaninoff', 'Zubin Mehta', 'Vladimir Feltsman', 'Israel Philharmonic Orchestra']"
24,['Morton Downey']
25,['Louis Boucot']
26,['Thomas Hallsten Paine']
27,"['Ildebrando Pizzetti', 'Arturo Toscanini']"
28,['Alice Cocéa']
29,['André Urban']
30,"['Gaetano Donizetti', 'Arturo Toscanini']"
31,['Mistinguett']
32,['Darüttalim-i Musiki Heyeti']
33,"['Sergei Rachmaninoff', 'Michael Tilson Thomas', 'Barry Douglas', 'London Symphony Orchestra']"
34,['Marcelly']
35,"['Ludwig van Beethoven', 'Arturo Toscanini']"
36,['Georgius']
37,['Robert Jysor']
38,['Safiye Ayla']
39,"['Sergei Rachmaninoff', 'János Starker']"
40,['Fred Gouin']
41,"['Jules Massenet', 'Arturo Toscanini']"
42,['Simone Judic']
43,"['Ottorino Respighi', 'Arturo Toscanini']"
44,"['Sergei Rachmaninoff', 'Emanuel Ax', 'Yefim Bronfman']"
45,['Neyzen İhsan Bey']
46,['Emma Liebel']
47,"[""Scarlet D'Carpio""]"
48,"['Georges Bizet', 'Arturo Toscanini']"
49,['Uli']
50,['Francis Marty']
51,['Greg Fieler']
52,['Lucien Boyer']
53,['Félix Mayol']
54,['Victor Boucher']
55,['Jeanne Saint Bonnet']
56,['Adolphe Bérard']
57,['Louis Lynel']
58,['Perchicot']
59,['Dréan']
60,['Jim Chapman']
61,"['Louis Armstrong', 'Earl Hines']"
62,['Bessie Smith']
63,['Louis Armstrong']
64,"['Bessie Smith', 'Louis Armstrong']"
65,"[""King Oliver's Creole Jazz Band""]"
66,['Louis Armstrong & His Hot Five']
67,"[""Clarence Williams' Blue Five""]"
68,['Louis Armstrong & His Sebastian New Cotton Club Orchestra']
69,['Jimmie Rodgers']
70,['Louis Armstrong & His Hot Seven']
71,['Fletcher Henderson & His Orchestra']
72,['Maggie Jones']
73,['Louis Armstrong & His Savoy Ballroom Five']
74,"[""Erskine Tate's Vendome Orchestra""]"
75,['Margaret Johnson']
76,"[""Carroll Dickerson's Savoyagers""]"
77,['Nolan Welsh']
78,['The Southern Serenaders']
79,['Lillie Delk Christian']
80,"['Bertha ""Chippie"" Hill']"
81,"['Hociel Thomas', 'Louis Armstrong']"
82,"['Bertha ""Chippie"" Hill', 'Louis Armstrong']"
83,['Seger Ellis']
84,['Francisco Canaro']
85,['Dranem']
86,['Gaby Montbreuse']
87,['Edmée Favart']
88,['Hafız Ahmet Celâl Tokses']
89,['Harry Curtis']
90,['Mlle Davia']
91,['André Baugé']
92,['FanChants: Navijači Radnički 1923']
93,['René De Buxeuil']
94,['Hykoski Studios']
95,['Macarti']
96,['4509 STARPASS Prodcutions']
97,"['Qatar Concert Choir', 'Giovanni Pasini']"
98,"['Eugénie Buffet', 'René De Buxeuil']"
99,"['Jean Goldkette and his Orchestra', 'Bix Beiderbecke']"
100,"['Paul Whiteman & His Orchestra', 'Bix Beiderbecke']"
101,"['The Chenille Sisters', ""James Dapogny's Chicago Jazz Band""]"
102,"['Bix Beiderbecke', 'Jean Goldkette and his Orchestra']"
103,"['Bix Beiderbecke', 'Hoagy Carmichael & His Orchestra']"
104,"['Paul Whiteman & His Orchestra', 'Bix Beiderbecke', 'Bing Crosby']"
105,"['Hoagy Carmichael & His Orchestra', 'Bix Beiderbecke']"
106,"['Hoagy Carmichael & His Orchestra', 'Bix Beiderbecke', 'Bud Freeman']"
107,"['Paul Whiteman & His Concert Orchestra', 'Bix Beiderbecke']"
108,"['Bix Beiderbecke And His Orchestra', 'Bix Beiderbecke']"
109,"['Paul Whiteman & His Orchestra', 'Bing Crosby', 'Bix Beiderbecke']"
110,"['Bix Beiderbecke', 'Bix Beiderbecke And His Orchestra']"
111,['George Olsen']
112,['Jailess']
113,['Duke Ellington & His Washingtonians']
114,['Hot Lips Page']
115,['Dombrova Piano Duo']
116,['Georges Milton']
117,['Sara Gee & Ramblin Matt']
118,['Johann Sebastian Bach']
119,['Bayan Sultan']
120,['Lionel Hampton Orchestra']
121,['Duke Ellington']
122,['Jimmy Rushing And His Orchestra']
123,['Bijoylal Mukherjee']
124,['Mahalia Jackson']
125,['Robert Marino']
126,['Teddy Wilson & His All-Stars']
127,"['Jones-Smith, Incorporated']"
128,['Count Basie']
129,['Tommy Dorsey']
