,endTime,artistName,trackName,msPlayed,count
0,2021-10-26 23:02,Daniel Caesar,Transform (feat. Charlotte Day Wilson),277984,1
1,2021-10-28 00:36,Nia Sultana,Coconut Water,25836,1
2,2021-10-28 00:36,Nia Sultana,Positions,146823,1
3,2021-10-28 00:40,Wizkid,Essence (feat. Tems),234590,1
4,2021-10-28 00:42,Nija,Finesse,129850,1
5,2021-10-28 00:45,Femme It Forward,What You Deserve,175702,1
6,2021-10-28 01:02,Bathe,Sundress,3100,1
7,2021-10-28 01:02,Tone Stith,Do I Ever (feat. Chris Brown),166817,1
8,2021-10-28 01:04,Sonder,Nobody But You,165440,1
9,2021-10-28 01:27,Adele,Easy On Me,120624,1
10,2021-10-28 01:59,Adele,Easy On Me,224342,1
11,2021-10-28 02:03,Giveon,Heartbreak Anniversary,198062,1
12,2021-10-28 02:07,Adele,All I Ask,271559,1
13,2021-10-28 02:10,Jeremy Zucker,this is how you fall in love,174307,1
14,2021-10-28 02:16,Ariana Grande,Almost Is Never Enough,327562,1
15,2021-10-28 02:19,Madison Beer,Reckless,203062,1
16,2021-10-28 02:22,Clinton Kane,I GUESS I'M IN LOVE,203811,1
17,2021-10-28 02:26,Mimi Webb,Dumb Love,205812,1
18,2021-10-28 02:48,Celeste,Strange,162648,1
19,2021-10-28 16:18,Daniel Caesar,Freudian,538300,1
20,2021-10-28 16:19,Daniel Caesar,Take Me Away (feat. Syd),6670,1
21,2021-10-28 16:22,Daniel Caesar,Hold Me Down,231267,1
22,2021-10-28 16:23,Daniel Caesar,Neu Roses (Transgressor's Song),19192,1
23,2021-10-28 16:23,Daniel Caesar,Neu Roses (Transgressor's Song),9250,1
24,2021-10-28 16:23,Daniel Caesar,We Find Love,1070,1
25,2021-10-28 16:23,Daniel Caesar,Loose,920,1
26,2021-10-28 16:23,Daniel Caesar,Loose,2220,1
27,2021-10-28 16:23,Daniel Caesar,Blessed,820,1
28,2021-10-28 16:27,Daniel Caesar,Take Me Away (feat. Syd),226116,1
29,2021-10-28 16:31,Daniel Caesar,Transform (feat. Charlotte Day Wilson),280586,1
30,2021-10-28 16:32,Daniel Caesar,Freudian,5326,1
31,2021-10-28 16:33,Snoh Aalegra,Whoa,560,1
32,2021-10-28 16:33,SiR,You Can't Save Me,111160,1
33,2021-10-28 16:37,Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""",32155,1
34,2021-10-28 16:37,rum.gold,Waiting For (feat. Jamila Woods),200214,1
35,2021-10-28 16:51,Lucky Daye,Buying Time,174740,1
36,2021-10-28 16:55,Flowervillain,so into you,223448,1
37,2021-10-28 16:58,Chiiild,Awake,226733,1
38,2021-10-28 16:59,Snoh Aalegra,Fool For You,28258,1
39,2021-10-28 17:03,Lianne La Havas,Please Don't Make Me Cry - Jordan Rakei Remix,262727,1
40,2021-10-28 17:06,Masego,Queen Tings,188053,1
41,2021-10-28 17:07,JoJo,Think About You,3330,1
42,2021-10-28 17:07,ELIZA,Lava/Treacle,1500,1
43,2021-10-28 17:07,Moo Latte,Movement,22339,1
44,2021-10-28 17:09,Shanté,Party On Mars,156870,1
45,2021-10-28 17:10,Terrace Martin,From My Heart and My Soul (feat. Phoelix),37480,1
46,2021-10-28 17:16,SiR,D'Evils,147210,1
47,2021-10-28 18:33,Zen Boba,Talk to Yuh,2500,1
48,2021-10-28 18:33,Adi Oasis,Mystic Lover,10320,1
49,2021-10-28 18:33,Kamaal Williams,Hold On,88790,1
50,2021-10-28 18:33,Brittany Howard,Stay High - Childish Gambino Version,3500,1
51,2021-10-28 18:37,Bill Withers,Can We Pretend,229573,1
52,2021-10-28 18:41,ASTU,Motion,235161,1
53,2021-10-28 18:44,Luke Gomm,I'm Thru,191335,1
54,2021-10-28 18:50,Simpson,Cherry Ice Cream Sundae,128210,1
55,2021-10-28 18:53,Jean Deaux,Belly,129600,1
56,2021-10-28 18:56,Andra Day,Phone Dies (feat. Refi Sings),235789,1
57,2021-10-28 19:00,Steve Lacy,N Side,224444,1
58,2021-10-28 19:03,Terrace Martin,Love You Bad (feat. Phoelix),168203,1
59,2021-10-28 19:06,Jacob Collier,All I Need (with Mahalia & Ty Dolla $ign),200763,1
60,2021-10-28 19:07,D-Nice,No Plans for Love (with Ne-Yo & Kent Jones),11410,1
61,2021-10-28 19:11,Giveon,Like I Want You,260776,1
62,2021-10-28 19:22,Robert Glasper,Shine [Feat. D Smoke + Tiffany Gouché],387210,1
63,2021-10-28 19:22,Theo Croker,Every Part of Me (feat. Ari Lennox),24693,1
64,2021-10-28 19:25,H.E.R.,Hold On,203214,1
65,2021-10-28 19:27,vAn,MilkShake & FriES - Demo,113255,1
66,2021-10-28 19:31,Jorja Smith,Addicted,204174,1
67,2021-10-28 19:34,RIMON,Feed Me,200235,1
68,2021-10-28 19:37,Davie,Butterflies,180000,1
69,2021-10-28 19:56,Selah Sue,Hurray,13640,1
70,2021-10-28 20:03,rum.gold,Waiting For (feat. Jamila Woods),200214,1
71,2021-10-28 20:04,Snoh Aalegra,Whoa,48295,1
72,2021-10-28 20:47,rum.gold,Waiting For (feat. Jamila Woods),190560,1
73,2021-10-28 20:49,Jazmine Sullivan,Bodies - Intro,121640,1
74,2021-10-28 20:53,Asiahn,My World,191946,1
75,2021-10-28 20:56,Chelan,PATTERNS,224050,1
76,2021-10-28 21:00,Jay Isaiah,Stole My Love,211034,1
77,2021-10-28 21:02,Liv.e,Bout It,102558,1
78,2021-10-28 21:05,Lani Rose,Overreacting,212044,1
79,2021-10-28 21:09,Bathe,Kimmi,206035,1
80,2021-10-28 21:09,SAULT,Masterpiece,13160,1
81,2021-10-28 21:13,emawk,Later,270708,1
82,2021-10-28 21:18,emawk,Later,270708,1
83,2021-10-28 21:22,emawk,Later,270708,1
84,2021-10-28 21:27,emawk,Later,270708,1
85,2021-10-28 21:31,emawk,Later,270708,1
86,2021-10-28 21:34,emawk,Later,169076,1
87,2021-10-28 22:41,emawk,Later,272348,1
88,2021-10-28 22:45,emawk,Later,270708,1
89,2021-10-28 22:50,emawk,Later,270708,1
90,2021-10-28 22:55,emawk,Later,270708,1
91,2021-10-28 22:59,emawk,Later,270708,1
92,2021-10-28 23:04,emawk,Later,270708,1
93,2021-10-28 23:08,emawk,Later,270708,1
94,2021-10-28 23:13,emawk,Later,270708,1
95,2021-10-28 23:38,emawk,Later,270708,1
96,2021-10-28 23:43,emawk,Later,270708,1
97,2021-10-28 23:47,emawk,Later,270708,1
98,2021-10-28 23:52,emawk,Later,270708,1
99,2021-10-28 23:56,emawk,Later,270708,1
100,2021-10-29 00:01,emawk,Later,270708,1
101,2021-10-29 00:05,emawk,Later,270708,1
102,2021-10-29 00:10,emawk,Later,270708,1
103,2021-10-29 00:14,emawk,Later,270708,1
104,2021-10-29 00:16,emawk,Later,48033,1
105,2021-10-29 16:13,emawk,Later,262433,1
106,2021-10-29 16:17,emawk,Later,231907,1
107,2021-10-29 16:20,Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""",17808,1
108,2021-10-29 16:20,rum.gold,Waiting For (feat. Jamila Woods),200214,1
109,2021-10-29 16:23,Nia Sultana,Coconut Water,39364,1
110,2021-10-29 16:23,Nia Sultana,Positions,146823,1
111,2021-10-29 16:28,The Fray,Love Don't Die,14745,1
112,2021-10-29 16:28,The Fray,Never Say Never,256613,1
113,2021-10-29 16:32,The Fray,Look After You,266773,1
114,2021-10-29 16:36,The Fray,Over My Head (Cable Car),236266,1
115,2021-10-29 16:45,The Fray,Never Say Never,214757,1
116,2021-10-29 16:49,The Script,Breakeven,203337,1
117,2021-10-29 16:53,Train,Drops of Jupiter (Tell Me),254212,1
118,2021-10-29 17:43,Khruangbin,Dearest Alfred (MyJoy),182953,1
119,2021-10-29 17:45,SamTRax,Mixed Emotions,140630,1
120,2021-10-29 17:47,Flying Lotus,Crust,116346,1
121,2021-10-29 17:49,yuhei miura,Hope,94536,1
122,2021-10-29 17:51,Soul Food Horns,Black Tea,153654,1
123,2021-10-29 17:52,Illa J,Late Night Banger,61071,1
124,2021-10-29 17:55,Jazzinuf,With U,178256,1
125,2021-10-29 17:56,Oaty.,Lakeview,45417,1
126,2021-10-29 17:58,Cookin Soul,Chicago,100236,1
127,2021-10-29 17:59,BRXWS,Barrio,62832,1
128,2021-10-29 18:01,Ghostnaut,Bora Bora,147719,1
129,2021-10-29 18:03,Flora Vida,Saguaro,109649,1
130,2021-10-29 18:05,Obie Hans,Artful Haze,125418,1
131,2021-10-29 18:07,uChill,Come See About Me - Lofi Flip,108291,1
132,2021-10-29 18:09,Ruth de las Plantas,Matalí,130641,1
133,2021-10-29 18:11,Clifford,Scootin,116768,1
134,2021-10-29 18:13,sancy j,fake news,103830,1
135,2021-10-29 18:14,Pellets Brew,for hire,97601,1
136,2021-10-29 18:16,SpoonBeats,Lighthouse,111215,1
137,2021-10-29 18:18,ØDYSSEE,Dragonfly,113673,1
138,2021-10-29 18:18,Iván Rosa,Ciudad de Papel,24518,1
139,2021-10-29 18:20,uChill,This Old Heart Of Mine (Is Weak For You) - Lofi Flip,97533,1
140,2021-10-29 18:22,Mindr,Beach Day,113779,1
141,2021-10-29 18:24,Noé Mina,Neon Stars,125252,1
142,2021-10-29 18:25,slider beats,Playa,105087,1
143,2021-10-29 18:28,desci,the point of no reconciliation,156106,1
144,2021-10-29 18:37,D0d.,Temple,103519,1
145,2021-10-29 18:39,Pixie Dust,In Bloom,130940,1
146,2021-10-29 18:42,WX//CLTV,Ghetto Crypto,157092,1
147,2021-10-29 18:44,Living Room,São Paulo Coffee,98579,1
148,2021-10-29 18:45,uChill,Too Busy Thinking About My Baby - Lofi Flip,78996,1
149,2021-10-29 18:47,Banks,Cosmic Dawn,116049,1
150,2021-10-29 21:18,Julia Groves,Drizzling,74191,1
151,2021-10-29 21:20,ØDYSSEE,In Depth,135178,1
152,2021-10-29 21:22,SCayos,Estuary,104625,1
153,2021-10-29 21:24,DAO,Tell Me Again,124638,1
154,2021-10-29 21:27,Drawing With Numbers,Vital,175946,1
155,2021-10-29 21:28,Phlocalyst,Perpetual,111903,1
156,2021-10-29 21:31,Senoidal,La Laguna,157056,1
157,2021-10-29 21:33,Maple Syrup,Quiet Times,123142,1
158,2021-10-29 21:35,Wun Two,Vinci,103352,1
159,2021-10-29 21:37,Julia Groves,Until Dawn,116080,1
160,2021-10-29 21:39,Smuv,Floating,112943,1
161,2021-10-29 21:41,Flughand,rideon,127124,1
162,2021-10-29 21:42,Nuver,Fireflies,85501,1
163,2021-10-29 21:44,Schmiddunsk,Watching Dolphins,84119,1
164,2021-10-29 21:48,Mary J. Blige,I Can Love You,1920,1
165,2021-10-29 21:48,Brandy,"I Wanna Be Down (feat. Queen Latifah, Yo-Yo & MC Lyte) - Remix",5200,1
166,2021-10-29 21:48,SWV,I'm So Into You,274250,1
167,2021-10-29 22:44,Groove Theory,Tell Me,136470,1
168,2021-10-29 22:48,Erykah Badu,On & On,226133,1
169,2021-10-29 22:48,Aaliyah,One In A Million,24036,1
170,2021-10-29 22:48,Kenny Lattimore,Never Too Busy,2420,1
171,2021-10-29 22:48,SWV,You're the One,3220,1
172,2021-10-29 22:53,Faith Evans,You Used to Love Me,269173,1
173,2021-10-29 22:58,Brownstone,If You Love Me,304160,1
174,2021-10-29 22:59,Mary J. Blige,Be Happy,63606,1
175,2021-10-29 23:02,Soul For Real,Candy Rain - Heavy D & TrakMasterz Mix,177800,1
176,2021-10-29 23:08,Jodeci,Cry For You,8444,1
177,2021-10-29 23:08,H-Town,Knockin' da Boots,330945,1
178,2021-10-29 23:13,Maxwell,Ascension (Don't Ever Wonder) - Remastered 2021,345975,1
179,2021-10-30 00:21,Aaliyah,If Your Girl Only Knew,240967,1
180,2021-10-31 18:05,Strangers,"The Schmidts, Part 2",17762,1
181,2021-11-02 18:05,Wizkid,Joro,20270,1
182,2021-11-02 18:05,Wizkid,Essence (feat. Tems),248040,1
183,2021-11-02 18:09,Snoh Aalegra,Whoa,30645,1
184,2021-11-02 18:09,rum.gold,Waiting For (feat. Jamila Woods),200214,1
185,2021-11-02 18:14,emawk,Later,270708,1
186,2021-11-02 18:17,Choker,Juno,231680,1
187,2021-11-02 18:22,Xavier Omär,Blind Man,242195,1
188,2021-11-02 18:24,Samaria,Out the Way,155414,1
189,2021-11-02 18:29,Aaliyah,One In A Million,270760,1
190,2021-11-02 18:33,Jamila Woods,SULA (Paperback),255906,1
